Index,Word
0,aachen
1,academi
2,acolleg
3,across
4,acut
5,adach
6,adepart
7,advanc
8,african
9,agricultur
10,ahunan
11,aist
12,analysi
13,andecolog
14,andenvironment
15,andpredict
16,andremot
17,anglesey
18,antara
19,appli
20,applic
21,approach
22,arusha
23,aschool
24,asian
25,attent
26,aunit
27,author
28,avail
29,awel
30,b
31,backscatt
32,balli
33,band
34,base
35,bdepart
36,bean
37,benvironment
38,bfaculti
39,biolog
40,box
41,bridg
42,brwth
43,bschool
44,c
45,cao
46,cengin
47,center
48,changsha
49,china
50,civil
51,climat
52,cnphase
53,cocs
54,colleg
55,com
56,commun
57,comput
58,content
59,control
60,correl
61,correspond
62,covid
63,crop
64,cultiv
65,dasguptab
66,data
67,denga
68,dengd
69,denni
70,deriv
71,devotha
72,didaa
73,diseas
74,donga
75,driven
76,driver
77,drought
78,dynam
79,e
80,edu
81,engin
82,ensa
83,equip
84,estim
85,european
86,ey
87,f
88,factor
89,faculti
90,farm
91,featur
92,field
93,food
94,forest
95,fu
96,fuchu
97,g
98,gakuen
99,gangyang
100,garga
101,gifu
102,graduat
103,grain
104,growth
105,hao
106,harvest
107,health
108,hempushpa
109,homepag
110,hospit
111,hua
112,huanglin
113,hub
114,hunan
115,hydraul
116,hyperspectr
117,imag
118,imageri
119,india
120,indian
121,indic
122,infect
123,inform
124,institut
125,integr
126,iww
127,japan
128,jingbo
129,jinpeng
130,john
131,journal
132,jun
133,kaiwen
134,katsurad
135,keisuk
136,key
137,keylaboratori
138,keyword
139,kiplagat
140,kobayashia
141,kumar
142,kushinoa
143,l
144,lab
145,laboratori
146,learn
147,level
148,li
149,lia
150,liang
151,lihuawang
152,list
153,liu
154,liua
155,lli
156,lu
157,machida
158,machin
159,mail
160,maiz
161,manag
162,mandela
163,mara
164,matthewsb
165,mbeya
166,measur
167,mechan
168,medic
169,menai
170,method
171,ming
172,model
173,moe
174,moistur
175,mokesh
176,mount
177,multi
178,multispectr
179,mussa
180,must
181,n
182,nation
183,nbu
184,nelson
185,ningbo
186,nm
187,nyamboa
188,ofcoast
189,ofgeographi
190,ofintegr
191,ofremot
192,ofricechilosuppressali
193,omarya
194,oper
195,optim
196,orient
197,orthopaed
198,p
199,paper
200,peopl
201,philip
202,physiolog
203,plant
204,plot
205,polici
206,potenti
207,pradeep
208,predict
209,prevent
210,qiang
211,qq
212,qualiti
213,quinoa
214,r
215,random
216,rayalug
217,regener
218,remot
219,republ
220,research
221,resourc
222,respiratori
223,result
224,rice
225,risk
226,rong
227,roorke
228,sahua
229,sar
230,sarukb
231,satellit
232,saurabh
233,sayako
234,sayo
235,scale
236,school
237,scienc
238,sciencedirect
239,secur
240,sens
241,sentinel
242,sesaya
243,shoko
244,shunsuk
245,smart
246,sourc
247,spectral
248,stage
249,street
250,structur
251,sustain
252,system
253,tamagawa
254,tanzania
255,technolog
256,tian
257,tianjin
258,time
259,tokyo
260,tomoaki
261,transfer
262,travel
263,uav
264,uk
265,univers
266,use
267,uttarakhand
268,vellor
269,vijaya
270,wang
271,wanglihua
272,water
273,weikang
274,weiweisun
275,weix
276,www
277,xiaojun
278,yamaguchib
279,yan
280,yanagido
281,yang
282,yanxiaobao
283,yasuharu
284,yield
285,yongchao
286,yoshikawac
287,yu
288,yuchenwu
289,yume
290,yumiaowang
291,zeng
292,zengc
293,zenghui
294,zhaopeng
295,zhihua
296,zhiyuanyao
297,zhongwei
298,zhu
299,zone
