Word,Dim-1,Dim-2,Dim-3,Dim-4,Dim-5
aachen,0.16774784485500316,0.6099203222182504,0.4910582656782586,0.619115649256709,0.7831835582217097
academi,0.4964275681330721,0.10390516961101515,0.30833211088396895,0.48051695632576963,0.5173120797360848
acolleg,0.6812896534493535,0.2332437044392447,0.18907183292447505,0.0956789250785336,0.6456752921489332
across,0.25787001894126393,0.3782729521988174,0.5303489649342941,0.7210642831630613,0.6109214073106207
acut,0.019596969861049973,0.594753430226158,0.09208752737408188,0.5760603099691726,0.4144772939783875
adach,0.23209039551162747,0.35330388628823617,0.7376380256926881,0.6470065277570912,0.548469486090317
adepart,0.8808779057811084,0.453864253399899,0.2837798154572032,0.3701287108718493,0.04145138358362388
advanc,0.3089289726654063,0.22172516724093583,0.5241373798298574,0.289657392197738,0.3316823611738443
african,0.2968367828720152,0.522972413313566,0.9249962362983477,0.9393966757214294,0.7994455385598467
agricultur,0.9569058997794975,0.07481904751376711,0.3579930108541596,0.07703854398824306,0.9978264401088591
ahunan,0.44822761174095105,0.8435960156112462,0.010245223605225617,0.3907031428026262,0.7259915710857975
aist,0.7160720548757529,0.7811336633920353,0.5982930514168338,0.08491116722454817,0.6810793219879586
analysi,0.03584144267350475,0.7158911239376967,0.23166923162094477,0.8432786555847848,0.8050465305119315
andecolog,0.6286071793057147,0.7162309910089408,0.540861584008872,0.3936444424177644,0.9060141201665081
andenvironment,0.5117672167330538,0.7309307566078136,0.04834150342129506,0.1332339723815935,0.47342752504772334
andpredict,0.1675851807581945,0.43384768577008115,0.2425362473878272,0.6348176284372972,0.45152593348037795
andremot,0.7131029254565066,0.7744867445758877,0.22322202067594799,0.4385414044213958,0.6950382428790295
anglesey,0.11461161741285641,0.25801666735359563,0.10765038306259544,0.7548818499278663,0.13684526950904263
antara,0.37621647930809987,0.6370328411299097,0.8207975093763725,0.8122936280962217,0.1260355948567261
appli,0.4937903655744551,0.934401246407764,0.7868106567118175,0.6529405898984543,0.9070053918168504
applic,0.5730300765680977,0.836649733205637,0.5896771476245267,0.6066865064740625,0.032758534940214856
approach,0.293409981176715,0.41944021435816425,0.9311691932490743,0.7119891191433727,0.25092646708879174
arusha,0.12354090799604123,0.7253962730121903,0.35020187722099094,0.9602340340453511,0.3187111303455984
aschool,0.14808133730966488,0.5776255387222544,0.4622537478094265,0.6049943227180533,0.8257869841991795
asian,0.9829646364909116,0.28006218154510043,0.4371735605043048,0.5556376181804314,0.5172373524018485
attent,0.40160822664097284,0.34054894842581684,0.42617509490858985,0.8273369478329827,0.9511204079280994
aunit,0.6004343724242687,0.549500262119926,0.07635582919405848,0.06927573310468571,0.2951158734484196
author,0.4505777959732833,0.1392691897420245,0.8339111916095856,0.33907705512293806,0.21804230499376986
avail,0.2009584863880992,0.3661888279762403,0.7082836673952029,0.07013408217110384,0.5759502985691568
awel,0.834986068133254,0.40022078969094643,0.5778184384883123,0.5873454748488631,0.8438279241212816
b,0.6676055803971168,0.028296089507879874,0.7643394538002848,0.15653439404488279,0.18385439110911939
backscatt,0.3886566396475599,0.7010588552219017,0.6908335764558958,0.958064222356193,0.9245360371880562
balli,0.9936242587290046,0.3681074911524488,0.6560879571857585,0.8228434705967866,0.352294172990013
band,0.1495720902592309,0.8201568700638834,0.8062961972397653,0.35587906750509735,0.2414295786946523
