No,X_train_Context_Indices,X_train_Context_Words,y_train_Target_Index,y_train_Target_Word
1,"[222, 122]","['respiratori', 'infect']",4,acut
2,"[4, 122, 62]","['acut', 'infect', 'covid']",222,respiratori
3,"[4, 222, 62, 225]","['acut', 'respiratori', 'covid', 'risk']",122,infect
4,"[222, 122, 225, 208]","['respiratori', 'infect', 'risk', 'predict']",62,covid
5,"[122, 62, 208, 262]","['infect', 'covid', 'predict', 'travel']",225,risk
6,"[62, 225, 262, 215]","['covid', 'risk', 'travel', 'random']",208,predict
7,"[225, 208, 215, 94]","['risk', 'predict', 'random', 'forest']",262,travel
8,"[208, 262, 94, 172]","['predict', 'travel', 'forest', 'model']",215,random
9,"[262, 215, 172, 128]","['travel', 'random', 'model', 'jingbo']",94,forest
10,"[215, 94, 128, 287]","['random', 'forest', 'jingbo', 'yu']",172,model
11,"[94, 172, 287, 105]","['forest', 'model', 'yu', 'hao']",128,jingbo
12,"[172, 128, 105, 287]","['model', 'jingbo', 'hao', 'yu']",287,yu
13,"[128, 287, 287, 30]","['jingbo', 'yu', 'yu', 'b']",105,hao
14,"[287, 105, 30, 289]","['yu', 'hao', 'b', 'yume']",287,yu
15,"[105, 287, 289, 270]","['hao', 'yu', 'yume', 'wang']",30,b
16,"[287, 30, 270, 44]","['yu', 'b', 'wang', 'c']",289,yume
17,"[30, 289, 44, 210]","['b', 'yume', 'c', 'qiang']",270,wang
18,"[289, 270, 210, 291]","['yume', 'wang', 'qiang', 'zeng']",44,c
19,"[270, 44, 291, 197]","['wang', 'c', 'zeng', 'orthopaed']",210,qiang
20,"[44, 210, 197, 124]","['c', 'qiang', 'orthopaed', 'institut']",291,zeng
21,"[210, 291, 124, 257]","['qiang', 'zeng', 'institut', 'tianjin']",197,orthopaed
22,"[291, 197, 257, 257]","['zeng', 'orthopaed', 'tianjin', 'tianjin']",124,institut
23,"[197, 124, 257, 110]","['orthopaed', 'institut', 'tianjin', 'hospit']",257,tianjin
24,"[124, 257, 110, 257]","['institut', 'tianjin', 'hospit', 'tianjin']",257,tianjin
25,"[257, 257, 257, 200]","['tianjin', 'tianjin', 'tianjin', 'peopl']",110,hospit
26,"[257, 110, 200, 219]","['tianjin', 'hospit', 'peopl', 'republ']",257,tianjin
27,"[110, 257, 219, 49]","['hospit', 'tianjin', 'republ', 'china']",200,peopl
28,"[257, 200, 49, 30]","['tianjin', 'peopl', 'china', 'b']",219,republ
29,"[200, 219, 30, 124]","['peopl', 'republ', 'b', 'institut']",49,china
30,"[219, 49, 124, 194]","['republ', 'china', 'institut', 'oper']",30,b
31,"[49, 30, 194, 212]","['china', 'b', 'oper', 'qualiti']",124,institut
32,"[30, 124, 212, 59]","['b', 'institut', 'qualiti', 'control']",194,oper
33,"[124, 194, 59, 257]","['institut', 'oper', 'control', 'tianjin']",212,qualiti
34,"[194, 212, 257, 47]","['oper', 'qualiti', 'tianjin', 'center']",59,control
35,"[212, 59, 47, 73]","['qualiti', 'control', 'center', 'diseas']",257,tianjin
36,"[59, 257, 73, 59]","['control', 'tianjin', 'diseas', 'control']",47,center
37,"[257, 47, 59, 209]","['tianjin', 'center', 'control', 'prevent']",73,diseas
38,"[47, 73, 209, 257]","['center', 'diseas', 'prevent', 'tianjin']",59,control
39,"[73, 59, 257, 200]","['diseas', 'control', 'tianjin', 'peopl']",209,prevent
40,"[59, 209, 200, 219]","['control', 'prevent', 'peopl', 'republ']",257,tianjin
41,"[209, 257, 219, 49]","['prevent', 'tianjin', 'republ', 'china']",200,peopl
42,"[257, 200, 49, 44]","['tianjin', 'peopl', 'china', 'c']",219,republ
43,"[200, 219, 44, 236]","['peopl', 'republ', 'c', 'school']",49,china
44,"[219, 49, 236, 107]","['republ', 'china', 'school', 'health']",44,c
45,"[49, 44, 107, 161]","['china', 'c', 'health', 'manag']",236,school
46,"[44, 236, 161, 257]","['c', 'school', 'manag', 'tianjin']",107,health
47,"[236, 107, 257, 168]","['school', 'health', 'tianjin', 'medic']",161,manag
48,"[107, 161, 168, 54]","['health', 'manag', 'medic', 'colleg']",257,tianjin
49,"[161, 257, 54]","['manag', 'tianjin', 'colleg']",168,medic
50,"[257, 168]","['tianjin', 'medic']",54,colleg
51,"[92, 166]","['field', 'measur']",60,correl
52,"[60, 166, 103]","['correl', 'measur', 'grain']",92,field
53,"[60, 92, 103, 174]","['correl', 'field', 'grain', 'moistur']",166,measur
54,"[92, 166, 174, 58]","['field', 'measur', 'moistur', 'content']",103,grain
55,"[166, 103, 58, 44]","['measur', 'grain', 'content', 'c']",174,moistur
56,"[103, 174, 44, 33]","['grain', 'moistur', 'c', 'band']",58,content
57,"[174, 58, 33, 229]","['moistur', 'content', 'band', 'sar']",44,c
58,"[58, 44, 229, 31]","['content', 'c', 'sar', 'backscatt']",33,band
59,"[44, 33, 31, 206]","['c', 'band', 'backscatt', 'potenti']",229,sar
60,"[33, 229, 206, 266]","['band', 'sar', 'potenti', 'use']",31,backscatt
61,"[229, 31, 266, 241]","['sar', 'backscatt', 'use', 'sentinel']",206,potenti
62,"[31, 206, 241, 229]","['backscatt', 'potenti', 'sentinel', 'sar']",266,use
63,"[206, 266, 229, 66]","['potenti', 'use', 'sar', 'data']",241,sentinel
64,"[266, 241, 66, 84]","['use', 'sentinel', 'data', 'estim']",229,sar
65,"[241, 229, 84, 195]","['sentinel', 'sar', 'estim', 'optim']",66,data
66,"[229, 66, 195, 106]","['sar', 'data', 'optim', 'harvest']",84,estim
67,"[66, 84, 106, 258]","['data', 'estim', 'harvest', 'time']",195,optim
68,"[84, 195, 258, 224]","['estim', 'optim', 'time', 'rice']",106,harvest
69,"[195, 106, 224, 63]","['optim', 'harvest', 'rice', 'crop']",258,time
70,"[106, 258, 63, 64]","['harvest', 'time', 'crop', 'cultiv']",224,rice
71,"[258, 224, 64, 243]","['time', 'rice', 'cultiv', 'shoko']",63,crop
72,"[224, 63, 243, 140]","['rice', 'crop', 'shoko', 'kobayashia']",64,cultiv
73,"[63, 64, 140, 130]","['crop', 'cultiv', 'kobayashia', 'john']",243,shoko
74,"[64, 243, 130, 201]","['cultiv', 'shoko', 'john', 'philip']",140,kobayashia
75,"[243, 140, 201, 164]","['shoko', 'kobayashia', 'philip', 'matthewsb']",130,john
76,"[140, 130, 164, 44]","['kobayashia', 'john', 'matthewsb', 'c']",201,philip
77,"[130, 201, 44, 2]","['john', 'philip', 'c', 'acolleg']",164,matthewsb
78,"[201, 164, 2, 9]","['philip', 'matthewsb', 'acolleg', 'agricultur']",44,c
79,"[164, 44, 9, 253]","['matthewsb', 'c', 'agricultur', 'tamagawa']",2,acolleg
80,"[44, 2, 253, 265]","['c', 'acolleg', 'tamagawa', 'univers']",9,agricultur
81,"[2, 9, 265, 253]","['acolleg', 'agricultur', 'univers', 'tamagawa']",253,tamagawa
82,"[9, 253, 253, 98]","['agricultur', 'tamagawa', 'tamagawa', 'gakuen']",265,univers
83,"[253, 265, 98, 157]","['tamagawa', 'univers', 'gakuen', 'machida']",253,tamagawa
84,"[265, 253, 157, 259]","['univers', 'tamagawa', 'machida', 'tokyo']",98,gakuen
85,"[253, 98, 259, 127]","['tamagawa', 'gakuen', 'tokyo', 'japan']",157,machida
86,"[98, 157, 127, 37]","['gakuen', 'machida', 'japan', 'benvironment']",259,tokyo
87,"[157, 259, 37, 231]","['machida', 'tokyo', 'benvironment', 'satellit']",127,japan
88,"[259, 127, 231, 20]","['tokyo', 'japan', 'satellit', 'applic']",37,benvironment
89,"[127, 37, 20, 82]","['japan', 'benvironment', 'applic', 'ensa']",231,satellit
90,"[37, 231, 82, 155]","['benvironment', 'satellit', 'ensa', 'lli']",20,applic
91,"[231, 20, 155, 29]","['satellit', 'applic', 'lli', 'awel']",82,ensa
92,"[20, 82, 29, 176]","['applic', 'ensa', 'awel', 'mount']",155,lli
93,"[82, 155, 176, 249]","['ensa', 'lli', 'mount', 'street']",29,awel
94,"[155, 29, 249, 169]","['lli', 'awel', 'street', 'menai']",176,mount
95,"[29, 176, 169, 41]","['awel', 'mount', 'menai', 'bridg']",249,street
96,"[176, 249, 41, 17]","['mount', 'street', 'bridg', 'anglesey']",169,menai
97,"[249, 169, 17, 86]","['street', 'menai', 'anglesey', 'ey']",41,bridg
98,"[169, 41, 86, 264]","['menai', 'bridg', 'ey', 'uk']",17,anglesey
99,"[41, 17, 264]","['bridg', 'anglesey', 'uk']",86,ey
100,"[17, 86]","['anglesey', 'ey']",264,uk
101,"[147, 284]","['level', 'yield']",90,farm
102,"[90, 284, 208]","['farm', 'yield', 'predict']",147,level
103,"[90, 147, 208, 160]","['farm', 'level', 'predict', 'maiz']",284,yield
104,"[147, 284, 160, 224]","['level', 'yield', 'maiz', 'rice']",208,predict
105,"[284, 208, 224, 36]","['yield', 'predict', 'rice', 'bean']",160,maiz
106,"[208, 160, 36, 254]","['predict', 'maiz', 'bean', 'tanzania']",224,rice
107,"[160, 224, 254, 266]","['maiz', 'rice', 'tanzania', 'use']",36,bean
108,"[224, 36, 266, 158]","['rice', 'bean', 'use', 'machin']",254,tanzania
109,"[36, 254, 158, 146]","['bean', 'tanzania', 'machin', 'learn']",266,use
110,"[254, 266, 146, 177]","['tanzania', 'use', 'learn', 'multi']",158,machin
111,"[266, 158, 177, 246]","['use', 'machin', 'multi', 'sourc']",146,learn
112,"[158, 146, 246, 9]","['machin', 'learn', 'sourc', 'agricultur']",177,multi
113,"[146, 177, 9, 66]","['learn', 'multi', 'agricultur', 'data']",246,sourc
114,"[177, 246, 66, 32]","['multi', 'sourc', 'data', 'balli']",9,agricultur
115,"[246, 9, 32, 193]","['sourc', 'agricultur', 'balli', 'omarya']",66,data
116,"[9, 66, 193, 30]","['agricultur', 'data', 'omarya', 'b']",32,balli
117,"[66, 32, 30, 179]","['data', 'balli', 'b', 'mussa']",193,omarya
118,"[32, 193, 179, 72]","['balli', 'omarya', 'mussa', 'didaa']",30,b
119,"[193, 30, 72, 71]","['omarya', 'b', 'didaa', 'devotha']",179,mussa
120,"[30, 179, 71, 97]","['b', 'mussa', 'devotha', 'g']",72,didaa
121,"[179, 72, 97, 187]","['mussa', 'didaa', 'g', 'nyamboa']",71,devotha
122,"[72, 71, 187, 23]","['didaa', 'devotha', 'nyamboa', 'aschool']",97,g
123,"[71, 97, 23, 57]","['devotha', 'g', 'aschool', 'comput']",187,nyamboa
124,"[97, 187, 57, 56]","['g', 'nyamboa', 'comput', 'commun']",23,aschool
125,"[187, 23, 56, 237]","['nyamboa', 'aschool', 'commun', 'scienc']",57,comput
126,"[23, 57, 237, 81]","['aschool', 'comput', 'scienc', 'engin']",56,commun
127,"[57, 56, 81, 53]","['comput', 'commun', 'engin', 'cocs']",237,scienc
