No,X_train_Index,X_train_Word,y_train_Index,y_train_Word
1,4,acut,222,respiratori
2,4,acut,122,infect
3,222,respiratori,4,acut
4,222,respiratori,122,infect
5,222,respiratori,62,covid
6,122,infect,4,acut
7,122,infect,222,respiratori
8,122,infect,62,covid
9,122,infect,225,risk
10,62,covid,222,respiratori
11,62,covid,122,infect
12,62,covid,225,risk
13,62,covid,208,predict
14,225,risk,122,infect
15,225,risk,62,covid
16,225,risk,208,predict
17,225,risk,262,travel
18,208,predict,62,covid
19,208,predict,225,risk
20,208,predict,262,travel
21,208,predict,215,random
22,262,travel,225,risk
23,262,travel,208,predict
24,262,travel,215,random
25,262,travel,94,forest
26,215,random,208,predict
27,215,random,262,travel
28,215,random,94,forest
29,215,random,172,model
30,94,forest,262,travel
31,94,forest,215,random
32,94,forest,172,model
33,94,forest,128,jingbo
34,172,model,215,random
35,172,model,94,forest
36,172,model,128,jingbo
37,172,model,287,yu
38,128,jingbo,94,forest
39,128,jingbo,172,model
40,128,jingbo,287,yu
41,128,jingbo,105,hao
42,287,yu,172,model
43,287,yu,128,jingbo
44,287,yu,105,hao
45,287,yu,287,yu
46,105,hao,128,jingbo
47,105,hao,287,yu
48,105,hao,287,yu
49,105,hao,30,b
50,287,yu,287,yu
51,287,yu,105,hao
52,287,yu,30,b
53,287,yu,289,yume
54,30,b,105,hao
55,30,b,287,yu
56,30,b,289,yume
57,30,b,270,wang
58,289,yume,287,yu
59,289,yume,30,b
60,289,yume,270,wang
61,289,yume,44,c
62,270,wang,30,b
63,270,wang,289,yume
64,270,wang,44,c
65,270,wang,210,qiang
66,44,c,289,yume
67,44,c,270,wang
68,44,c,210,qiang
69,44,c,291,zeng
70,210,qiang,270,wang
71,210,qiang,44,c
72,210,qiang,291,zeng
73,210,qiang,197,orthopaed
74,291,zeng,44,c
75,291,zeng,210,qiang
76,291,zeng,197,orthopaed
77,291,zeng,124,institut
78,197,orthopaed,210,qiang
79,197,orthopaed,291,zeng
80,197,orthopaed,124,institut
81,197,orthopaed,257,tianjin
82,124,institut,291,zeng
83,124,institut,197,orthopaed
84,124,institut,257,tianjin
85,124,institut,257,tianjin
86,257,tianjin,197,orthopaed
87,257,tianjin,124,institut
88,257,tianjin,257,tianjin
89,257,tianjin,110,hospit
90,257,tianjin,124,institut
91,257,tianjin,257,tianjin
92,257,tianjin,110,hospit
93,257,tianjin,257,tianjin
94,110,hospit,257,tianjin
95,110,hospit,257,tianjin
96,110,hospit,257,tianjin
97,110,hospit,200,peopl
98,257,tianjin,257,tianjin
99,257,tianjin,110,hospit
100,257,tianjin,200,peopl
101,257,tianjin,219,republ
102,200,peopl,110,hospit
103,200,peopl,257,tianjin
104,200,peopl,219,republ
105,200,peopl,49,china
106,219,republ,257,tianjin
107,219,republ,200,peopl
108,219,republ,49,china
109,219,republ,30,b
110,49,china,200,peopl
111,49,china,219,republ
112,49,china,30,b
113,49,china,124,institut
114,30,b,219,republ
115,30,b,49,china
116,30,b,124,institut
117,30,b,194,oper
118,124,institut,49,china
119,124,institut,30,b
120,124,institut,194,oper
121,124,institut,212,qualiti
122,194,oper,30,b
123,194,oper,124,institut
124,194,oper,212,qualiti
125,194,oper,59,control
126,212,qualiti,124,institut
127,212,qualiti,194,oper
128,212,qualiti,59,control
129,212,qualiti,257,tianjin
130,59,control,194,oper
131,59,control,212,qualiti
132,59,control,257,tianjin
133,59,control,47,center
134,257,tianjin,212,qualiti
135,257,tianjin,59,control
136,257,tianjin,47,center
137,257,tianjin,73,diseas
138,47,center,59,control
139,47,center,257,tianjin
140,47,center,73,diseas
141,47,center,59,control
142,73,diseas,257,tianjin
143,73,diseas,47,center
144,73,diseas,59,control
145,73,diseas,209,prevent
146,59,control,47,center
147,59,control,73,diseas
148,59,control,209,prevent
149,59,control,257,tianjin
150,209,prevent,73,diseas
151,209,prevent,59,control
152,209,prevent,257,tianjin
153,209,prevent,200,peopl
154,257,tianjin,59,control
155,257,tianjin,209,prevent
156,257,tianjin,200,peopl
157,257,tianjin,219,republ
158,200,peopl,209,prevent
159,200,peopl,257,tianjin
160,200,peopl,219,republ
161,200,peopl,49,china
162,219,republ,257,tianjin
163,219,republ,200,peopl
164,219,republ,49,china
165,219,republ,44,c
166,49,china,200,peopl
167,49,china,219,republ
168,49,china,44,c
169,49,china,236,school
170,44,c,219,republ
171,44,c,49,china
172,44,c,236,school
173,44,c,107,health
174,236,school,49,china
175,236,school,44,c
176,236,school,107,health
177,236,school,161,manag
178,107,health,44,c
179,107,health,236,school
180,107,health,161,manag
181,107,health,257,tianjin
182,161,manag,236,school
183,161,manag,107,health
184,161,manag,257,tianjin
185,161,manag,168,medic
186,257,tianjin,107,health
187,257,tianjin,161,manag
188,257,tianjin,168,medic
189,257,tianjin,54,colleg
190,168,medic,161,manag
191,168,medic,257,tianjin
192,168,medic,54,colleg
193,54,colleg,257,tianjin
194,54,colleg,168,medic
195,60,correl,92,field
196,60,correl,166,measur
197,92,field,60,correl
198,92,field,166,measur
199,92,field,103,grain
200,166,measur,60,correl
201,166,measur,92,field
202,166,measur,103,grain
203,166,measur,174,moistur
204,103,grain,92,field
205,103,grain,166,measur
206,103,grain,174,moistur
207,103,grain,58,content
208,174,moistur,166,measur
209,174,moistur,103,grain
210,174,moistur,58,content
211,174,moistur,44,c
212,58,content,103,grain
213,58,content,174,moistur
214,58,content,44,c
215,58,content,33,band
216,44,c,174,moistur
217,44,c,58,content
218,44,c,33,band
219,44,c,229,sar
220,33,band,58,content
221,33,band,44,c
222,33,band,229,sar
223,33,band,31,backscatt
224,229,sar,44,c
225,229,sar,33,band
226,229,sar,31,backscatt
227,229,sar,206,potenti
228,31,backscatt,33,band
229,31,backscatt,229,sar
230,31,backscatt,206,potenti
231,31,backscatt,266,use
232,206,potenti,229,sar
233,206,potenti,31,backscatt
234,206,potenti,266,use
235,206,potenti,241,sentinel
236,266,use,31,backscatt
237,266,use,206,potenti
